label,hip_pos,thigh_pos,dspring,slider_pos,thighpos_dspring,slidepos_dspring,thigh_thigh,hip_hip,bias
0.003,0.234214876,0.380598396,0.723509934,0.740477846,0.303341712,0.348765008,0.796288649,0.380188266,1
0.01,0.236336088,0.393028994,0.715468307,0.737258059,0.304423542,0.358514924,0.812143234,0.383223508,1
0.018,0.238429752,0.400385564,0.709082308,0.734294391,0.304324497,0.366205883,0.821223658,0.38621215,1
0.025,0.240550964,0.413510179,0.70269631,0.731330723,0.307306097,0.373882908,0.836865135,0.389232839,1
0.033,0.242672176,0.435040099,0.699148534,0.728806118,0.316356768,0.37805657,0.860973285,0.392246204,1
0.04,0.244793388,0.446961752,0.697019868,0.726501043,0.321417008,0.380480186,0.873493826,0.395252246,1
0.048,0.246887052,0.459376928,0.696310312,0.724452087,0.327472559,0.381161477,0.885904792,0.398212066,1
0.055,0.251129477,0.474753239,0.707426679,0.722403132,0.340088751,0.367150613,0.900387854,0.404187718,1
0.063,0.255344353,0.495774213,0.717360454,0.720098057,0.354257905,0.354601565,0.9185977,0.410095557,1
0.07,0.255344353,0.512014189,0.701750237,0.71761004,0.356486982,0.373741166,0.931408414,0.410095557,1
0.078,0.259586777,0.527297964,0.710028382,0.715085434,0.366855994,0.363236801,0.942463608,0.416012807,1
0.085,0.261680441,0.543908081,0.703642384,0.712121766,0.373123619,0.370869699,0.953377287,0.418922212,1
0.093,0.263801653,0.559022209,0.697019868,0.70912151,0.378971588,0.378777745,0.962311609,0.421862623,1
0.1,0.268016529,0.569062307,0.7012772,0.705938312,0.385152377,0.373202944,0.967721726,0.427683521,1
0.108,0.270137741,0.575370142,0.691816462,0.702498994,0.386179533,0.384554975,0.970906415,0.430602055,1
0.115,0.276473829,0.579719309,0.705061495,0.698840145,0.391370792,0.367850437,0.973005897,0.43927614,1
0.122,0.280688705,0.58474707,0.703405866,0.694742234,0.393526861,0.369501043,0.975334986,0.445010098,1
0.13,0.284931129,0.591533004,0.698675497,0.690168673,0.395995704,0.374884084,0.978311946,0.450752333,1
0.137,0.291239669,0.59264343,0.704588458,0.685338992,0.397715783,0.367149068,0.978780864,0.459236939,1
0.144,0.295482094,0.593214065,0.694418165,0.679850719,0.396028036,0.379101759,0.979019842,0.464906314,1
0.151,0.301790634,0.600971622,0.694418165,0.674142915,0.400051298,0.378537175,0.982134393,0.473282576,1
0.159,0.308126722,0.611428131,0.690160833,0.667739929,0.404798286,0.383106944,0.98593675,0.481630211,1
0.166,0.31446281,0.620697101,0.683065279,0.660897882,0.408681827,0.391073432,0.988927327,0.489912499,1
0.173,0.32077135,0.62601789,0.673131504,0.653580184,0.410260298,0.402407845,0.990482726,0.498093856,1
0.18,0.32922865,0.631785935,0.670529801,0.645567305,0.413177861,0.404710908,0.992035953,0.508960241,1
0.187,0.339752066,0.639697717,0.67384106,0.636639713,0.417991027,0.399740371,0.993941531,0.522318717,1
0.194,0.35030303,0.650493523,0.670056764,0.626577879,0.423703246,0.403236537,0.996122035,0.535531196,1
0.201,0.360826446,0.662276373,0.660359508,0.615601332,0.429780152,0.413717765,0.997949039,0.548528684,1
0.208,0.373471074,0.671869217,0.653500473,0.603271011,0.435096959,0.420563524,0.999010348,0.563907661,1
0.215,0.38399449,0.686289328,0.630558184,0.59020892,0.44338667,0.446458922,0.99988614,0.576508297,1
0.222,0.39661157,0.6990438,0.614711447,0.576488237,0.451737328,0.463613988,0.999940507,0.591378245,1
0.229,0.411349862,0.715561382,0.604541154,0.561852841,0.463274345,0.473770097,0.999006147,0.608420035,1
0.236,0.428209366,0.732665022,0.598391675,0.546083202,0.475574524,0.478928669,0.996843632,0.627481005,1
0.244,0.44292011,0.749321407,0.573084201,0.52917932,0.490017712,0.506297757,0.99356911,0.643734658,1
0.251,0.459779614,0.767658853,0.557473983,0.512019319,0.506051368,0.52201708,0.988630592,0.661929254,1
0.258,0.478705234,0.779194941,0.549905393,0.494420255,0.516332778,0.528156083,0.984807608,0.681802386,1
0.265,0.49553719,0.776095003,0.520340587,0.475211299,0.518562847,0.559271358,0.985889252,0.698987193,1
0.272,0.512396694,0.784962986,0.493377483,0.456441404,0.530891937,0.587067535,0.982688698,0.715737833,1
0.279,0.531322314,0.794818014,0.471381268,0.436793385,0.544120883,0.608682503,0.978748466,0.733990054,1
0.287,0.548181818,0.800586058,0.43897824,0.417328309,0.556281278,0.641773214,0.976255022,0.749758653,1
0.294,0.569256198,0.80735657,0.428098392,0.397899821,0.565517922,0.650240487,0.973151811,0.768818772,1
0.301,0.590330579,0.813942011,0.416745506,0.378471333,0.574953725,0.659079873,0.969950646,0.787155968,1
0.308,0.607190083,0.819925972,0.38268685,0.359042845,0.589563157,0.692926425,0.966885556,0.801305221,1
0.315,0.626198347,0.835919186,0.361873226,0.340053419,0.613194976,0.711795439,0.957963127,0.816702929,1
0.323,0.645206612,0.845280691,0.343188269,0.321539644,0.629526381,0.728152111,0.952247197,0.831512516,1
0.33,0.664214876,0.853547193,0.325449385,0.303245399,0.644891385,0.743276393,0.946897027,0.845733981,1
0.337,0.681129477,0.858975941,0.299195837,0.285390216,0.659949038,0.767475388,0.94322898,0.857894503,1
0.344,0.698071625,0.869262801,0.275307474,0.268010684,0.681227197,0.788907526,0.935942494,0.869607992,1
0.352,0.717134986,0.877066626,0.270340587,0.252021514,0.693345663,0.790169108,0.930121435,0.882229422,1
0.359,0.734104683,0.884469463,0.255439924,0.236215287,0.708731784,0.801981708,0.924365545,0.89296703,1
0.366,0.751101928,0.889790253,0.245742668,0.22136036,0.719670305,0.808369666,0.920087813,0.903252189,1
0.373,0.763856749,0.899213448,0.222090823,0.207639677,0.74210114,0.82964615,0.912223165,0.910661378,1
0.381,0.778732782,0.909731647,0.214285714,0.194833705,0.760400387,0.834332903,0.903008745,0.918968236,1
0.388,0.793636364,0.917412091,0.21192053,0.182942446,0.772523008,0.833523314,0.895989864,0.926929265,1
0.395,0.806418733,0.927806909,0.207426679,0.17244155,0.789625813,0.835292138,0.886099962,0.933469189,1
0.402,0.817107438,0.934669957,0.19962157,0.163038308,0.803266972,0.840765027,0.879324145,0.938733739,1
